Date,US_10Y_Yield_Actual,AAA_Bond_Yield_Actual,BAA_Bond_Yield_Actual,Junk_Bond_Yield_Actual,AAA_Bond_Yield,BAA_Bond_Yield,US_10Y_Yield,Junk_Bond_Yield
2014-12-01,2.22,3.79,4.74,4.82,3.5014143,4.564905,3.0224934,5.0879207
2015-01-01,2.17,3.46,4.45,5.04,3.5022774,4.562681,3.01929,5.0896735
2015-02-01,1.68,3.61,4.51,5.26,3.5017653,4.5572977,3.0192382,5.083454
2015-03-01,2.0,3.64,4.54,4.46,3.5030918,4.5610824,3.019689,5.0883656
2015-04-01,1.87,3.52,4.48,4.86,3.503778,4.56342,3.011194,5.081286
2015-05-01,2.12,3.98,4.89,4.53,3.4976292,4.558213,3.0253835,5.0814233
2015-06-01,2.19,4.19,5.13,4.52,3.5015445,4.5691133,3.0145984,5.083739
2015-07-01,2.43,4.15,5.2,4.88,3.503892,4.5591574,3.025745,5.0839796
2015-08-01,2.2,4.04,5.19,5.36,3.5022674,4.553076,3.019261,5.084737
2015-09-01,2.17,4.07,5.34,5.78,3.4947476,4.5567584,3.0173376,5.082873
2015-10-01,2.05,3.95,5.34,6.67,3.4988604,4.5562162,3.010154,5.089129
2015-11-01,2.16,4.06,5.46,5.9,3.4954371,4.5677977,3.025449,5.089316
2015-12-01,2.15,3.97,5.46,6.4,3.5035849,4.562616,3.0272975,5.099881
2016-01-01,2.27,4.0,5.45,6.95,3.499857,4.563633,3.0091145,5.09254
2016-02-01,1.97,3.96,5.34,7.79,3.5018744,4.5496526,3.0312412,5.086765
2016-03-01,1.83,3.82,5.13,7.46,3.4929924,4.5451894,3.0096283,5.0947475
2016-04-01,1.79,3.62,4.79,7.05,3.5022244,4.5545807,3.0221407,5.1064496
2016-05-01,1.83,3.65,4.68,6.21,3.5000176,4.5553584,3.0264008,5.1028357
2016-06-01,1.85,3.5,4.53,6.01,3.497117,4.552278,3.0255203,5.1045933
2016-07-01,1.46,3.28,4.22,6.12,3.494204,4.5625644,3.009153,5.0915895
2016-08-01,1.51,3.32,4.24,5.69,3.5001435,4.551397,3.0320566,5.096945
2016-09-01,1.57,3.41,4.31,5.12,3.4887438,4.5584908,3.0261984,5.0837393
2016-10-01,1.6,3.51,4.38,4.97,3.501182,4.553398,3.0044649,5.104383
2016-11-01,1.83,3.86,4.71,5.05,3.501696,4.555398,3.0120988,5.093132
2016-12-01,2.45,4.06,4.83,4.62,3.4964237,4.5490637,3.000583,5.112387
2017-01-01,2.45,3.92,4.66,4.22,3.4937658,4.555012,3.0274994,5.095328
2017-02-01,2.48,3.95,4.64,3.95,3.4964895,4.5549927,3.0219488,5.1002603
2017-03-01,2.46,4.01,4.68,3.57,3.5002875,4.5632157,3.0365987,5.096264
2017-04-01,2.4,3.87,4.57,3.92,3.5043483,4.555966,3.025587,5.0895815
2017-05-01,2.33,3.85,4.55,3.78,3.496624,4.5617623,3.0140839,5.1088614
2017-06-01,2.21,3.68,4.37,3.69,3.49013,4.5588965,3.0269613,5.094096
2017-07-01,2.31,3.7,4.39,3.77,3.4999752,4.5424876,3.0222607,5.087841
2017-08-01,2.26,3.63,4.31,3.6,3.4953775,4.5547075,3.0246935,5.0973315
2017-09-01,2.16,3.63,4.3,3.82,3.4974341,4.556401,3.021968,5.110388
2017-10-01,2.33,3.6,4.32,3.56,3.4989018,4.542746,3.0126672,5.090884
2017-11-01,2.37,3.57,4.27,3.48,3.5000334,4.5562663,3.0252018,5.090374
2017-12-01,2.37,3.51,4.22,3.63,3.502205,4.558842,3.0072715,5.08914
2018-01-01,2.4,3.55,4.26,3.63,3.5025249,4.5525355,3.0315154,5.08883
2018-02-01,2.78,3.82,4.51,3.29,3.4900122,4.5603228,3.0101197,5.102823
2018-03-01,2.81,3.87,4.64,3.59,3.5024223,4.5500813,3.0275455,5.1024117
2018-04-01,2.74,3.85,4.67,3.72,3.492289,4.5417614,3.0150838,5.0998936
2018-05-01,2.97,4.0,4.83,3.47,3.497913,4.544456,3.031265,5.1037636
2018-06-01,2.89,3.96,4.83,3.55,3.493178,4.5414844,3.014692,5.0932727
2018-07-01,2.85,3.87,4.79,3.71,3.4971218,4.549219,3.029519,5.1086545
2018-08-01,3.0,3.88,4.77,3.43,3.492786,4.547832,3.0303628,5.0886064
2018-09-01,2.86,3.98,4.88,3.49,3.4980946,4.564826,3.0297341,5.092113
2018-10-01,3.09,4.14,5.07,3.22,3.4952602,4.566564,3.021742,5.0974402
2018-11-01,3.14,4.22,5.22,3.81,3.496182,4.548238,3.0093498,5.105296
2018-12-01,3.01,4.02,5.13,4.29,3.4944973,4.554094,3.0262475,5.096229
2019-01-01,2.69,3.93,5.12,5.33,3.4959087,4.5627437,3.0176933,5.1021004
2019-02-01,2.7,3.79,4.95,4.29,3.501379,4.5611286,3.0145366,5.1071053
2019-03-01,2.76,3.77,4.84,3.86,3.4921527,4.5504684,3.0097947,5.1048074
2019-04-01,2.49,3.69,4.7,3.94,3.492859,4.5617404,3.016202,5.103068
2019-05-01,2.52,3.67,4.63,3.71,3.4980736,4.5492334,3.0107687,5.095984
2019-06-01,2.14,3.42,4.46,4.59,3.4962044,4.5375633,3.0063734,5.112147
2019-07-01,2.03,3.29,4.28,3.99,3.4989219,4.5399427,3.013148,5.103905
2019-08-01,1.9,2.98,3.87,4.1,3.4974504,4.543618,3.0173867,5.092307
2019-09-01,1.5,3.03,3.91,4.13,3.4892144,4.5437636,3.005141,5.090878
2019-10-01,1.65,3.01,3.92,4.08,3.4948044,4.558089,3.0211384,5.105308
2019-11-01,1.73,3.06,3.94,4.09,3.4957962,4.5597596,3.011051,5.118915
2019-12-01,1.78,3.01,3.88,4.02,3.4954963,4.550628,3.0195892,5.0995903
2020-01-01,1.92,2.94,3.77,3.6,3.496965,4.5552297,3.0238576,5.090196
2020-02-01,1.51,2.78,3.61,4.03,3.4856339,4.5582004,3.0129826,5.0935903
2020-03-01,1.13,3.02,4.29,5.06,3.499074,4.5394106,3.0236518,5.086598
2020-04-01,0.62,2.43,4.13,9.11,3.5002604,4.5579925,3.027928,5.0873537
2020-05-01,0.64,2.5,3.95,7.7,3.4898686,4.546331,3.0165102,5.103536
2020-06-01,0.66,2.44,3.64,6.43,3.492762,4.56312,3.005588,5.1055584
