Date,US_10Y_Yield_Actual,AAA_Bond_Yield_Actual,BAA_Bond_Yield_Actual,Junk_Bond_Yield_Actual,US_10Y_Yield,Junk_Bond_Yield,BAA_Bond_Yield,AAA_Bond_Yield
2014-12-01,2.22,3.79,4.74,4.82,2.5123265,5.001993,4.9314466,3.9972496
2015-01-01,2.17,3.46,4.45,5.04,2.3750494,4.690994,4.3805256,4.043192
2015-02-01,1.68,3.61,4.51,5.26,2.1903405,4.647962,4.851549,4.34965
2015-03-01,2.0,3.64,4.54,4.46,2.8470354,4.836246,5.053335,4.0042996
2015-04-01,1.87,3.52,4.48,4.86,2.73742,5.968658,5.199442,4.2412663
2015-05-01,2.12,3.98,4.89,4.53,2.4407504,6.190958,5.144363,4.2927313
2015-06-01,2.19,4.19,5.13,4.52,3.1603389,5.7479086,5.1180406,4.2029247
2015-07-01,2.43,4.15,5.2,4.88,2.720092,5.421468,4.978588,4.4328494
2015-08-01,2.2,4.04,5.19,5.36,2.4372163,5.6999826,4.966293,3.8555017
2015-09-01,2.17,4.07,5.34,5.78,2.227013,5.564817,5.0245805,3.9738355
2015-10-01,2.05,3.95,5.34,6.67,2.6600053,5.657634,4.806141,3.821343
2015-11-01,2.16,4.06,5.46,5.9,2.4124582,5.770153,5.2221956,3.521554
2015-12-01,2.15,3.97,5.46,6.4,2.7366223,6.132828,4.656019,4.1388035
2016-01-01,2.27,4.0,5.45,6.95,2.4924679,5.330241,4.2191515,4.2410645
2016-02-01,1.97,3.96,5.34,7.79,2.7983105,5.1143055,4.804426,4.23729
2016-03-01,1.83,3.82,5.13,7.46,2.5202003,5.033017,5.019109,4.1908636
2016-04-01,1.79,3.62,4.79,7.05,2.5152335,5.663283,4.4685006,3.379505
2016-05-01,1.83,3.65,4.68,6.21,2.4836571,5.2554646,4.63981,3.8223794
2016-06-01,1.85,3.5,4.53,6.01,2.7319543,4.8056397,5.063975,4.022125
2016-07-01,1.46,3.28,4.22,6.12,2.7848885,6.6251006,4.958481,3.9850135
2016-08-01,1.51,3.32,4.24,5.69,2.6619184,5.7384443,4.952098,4.759649
2016-09-01,1.57,3.41,4.31,5.12,2.5795515,6.0311966,5.101025,3.909424
2016-10-01,1.6,3.51,4.38,4.97,2.0454998,3.518799,4.875795,3.365025
2016-11-01,1.83,3.86,4.71,5.05,3.275683,4.3222446,4.687167,4.0149274
2016-12-01,2.45,4.06,4.83,4.62,2.6747699,4.372572,4.7132063,3.9455562
2017-01-01,2.45,3.92,4.66,4.22,2.7515676,5.329313,4.8723702,4.270694
2017-02-01,2.48,3.95,4.64,3.95,2.728506,4.771485,4.0520096,3.3456414
2017-03-01,2.46,4.01,4.68,3.57,3.0085795,5.177057,4.7340193,3.2588992
2017-04-01,2.4,3.87,4.57,3.92,2.5136013,4.699474,4.301744,3.0935025
2017-05-01,2.33,3.85,4.55,3.78,2.7350833,4.4780326,4.422099,3.2587159
2017-06-01,2.21,3.68,4.37,3.69,2.5897515,5.5759406,4.4040594,3.6446998
2017-07-01,2.31,3.7,4.39,3.77,1.3303418,5.910378,4.625883,3.409605
2017-08-01,2.26,3.63,4.31,3.6,2.2787483,4.3814893,4.3652334,3.7100694
2017-09-01,2.16,3.63,4.3,3.82,2.4721048,4.681587,4.185942,3.5862808
2017-10-01,2.33,3.6,4.32,3.56,2.2083704,4.9525533,4.5175495,3.8243814
2017-11-01,2.37,3.57,4.27,3.48,3.2494237,4.9050727,4.2976055,3.043618
2017-12-01,2.37,3.51,4.22,3.63,3.1593802,5.5024395,4.6314654,3.7429202
2018-01-01,2.4,3.55,4.26,3.63,3.6499596,4.9086246,4.4805193,3.539016
2018-02-01,2.78,3.82,4.51,3.29,2.8022704,5.3772655,5.6984954,3.8662636
2018-03-01,2.81,3.87,4.64,3.59,1.8133401,3.8804464,5.210169,3.436089
2018-04-01,2.74,3.85,4.67,3.72,2.3682158,5.5225377,5.2598825,3.0805535
2018-05-01,2.97,4.0,4.83,3.47,4.291341,3.9217954,4.6721163,3.4035335
2018-06-01,2.89,3.96,4.83,3.55,1.838089,7.397082,5.201019,3.6676507
2018-07-01,2.85,3.87,4.79,3.71,2.617683,5.547611,4.415561,3.40552
2018-08-01,3.0,3.88,4.77,3.43,2.8738008,4.745244,5.2969675,4.7251678
2018-09-01,2.86,3.98,4.88,3.49,2.1440613,3.63037,4.5940576,4.328893
2018-10-01,3.09,4.14,5.07,3.22,1.5936326,4.825863,5.060905,3.8042173
2018-11-01,3.14,4.22,5.22,3.81,3.3596463,5.3523617,4.7974963,3.0310984
2018-12-01,3.01,4.02,5.13,4.29,2.7398021,4.53302,4.8156323,4.227135
2019-01-01,2.69,3.93,5.12,5.33,2.2324364,5.4679413,5.310247,3.4687023
2019-02-01,2.7,3.79,4.95,4.29,2.6279469,5.879235,5.505828,3.8575666
2019-03-01,2.76,3.77,4.84,3.86,1.5215017,5.332564,4.8517084,3.7753756
2019-04-01,2.49,3.69,4.7,3.94,1.35225,4.364772,4.995744,3.4019809
2019-05-01,2.52,3.67,4.63,3.71,2.3678224,5.1084337,4.8912764,4.102642
2019-06-01,2.14,3.42,4.46,4.59,2.0698955,5.35419,4.175635,3.2708707
2019-07-01,2.03,3.29,4.28,3.99,2.5102856,4.724781,5.096452,3.2728696
2019-08-01,1.9,2.98,3.87,4.1,2.3283992,5.1394506,3.942103,2.9946854
2019-09-01,1.5,3.03,3.91,4.13,3.021286,5.1484137,4.1775694,3.4365194
2019-10-01,1.65,3.01,3.92,4.08,2.155656,5.660596,5.097954,4.309535
2019-11-01,1.73,3.06,3.94,4.09,2.1130452,5.183395,5.141176,2.9686086
2019-12-01,1.78,3.01,3.88,4.02,2.1846554,5.191262,5.415527,3.7175753
2020-01-01,1.92,2.94,3.77,3.6,1.9048883,5.2980003,4.0374875,2.9475367
2020-02-01,1.51,2.78,3.61,4.03,2.9271905,3.3942976,5.161996,3.9188132
2020-03-01,1.13,3.02,4.29,5.06,1.9244715,3.7262208,4.8097744,4.7116055
2020-04-01,0.6199999999999999,2.43,4.13,9.11,1.8013899,5.134197,5.736575,4.147266
2020-05-01,0.64,2.5,3.95,7.7,2.0849624,5.368203,4.105727,4.596648
2020-06-01,0.66,2.44,3.64,6.43,2.789694,4.6910396,5.141603,2.9665134
2020-07-01,0.6899999999999998,2.14,3.31,6.33,2.3014367,4.8427997,4.963054,4.0136876
2020-08-01,0.55,2.25,3.27,5.16,2.1849272,4.7620883,4.5249515,3.5086136
2020-09-01,0.6799999999999999,2.31,3.36,4.97,2.6183796,4.122476,4.4810443,4.0609436
2020-10-01,0.6799999999999999,2.35,3.44,5.36,2.743388,5.179658,4.6652284,3.2635148
2020-11-01,0.8800000000000001,2.3,3.3,5.32,1.9559593,4.238766,5.007505,3.927532
2020-12-01,0.9200000000000002,2.26,3.16,4.21,2.8128996,5.1753182,4.308995,3.9491732
2021-01-01,0.9299999999999999,2.45,3.24,3.86,1.550263,5.3215303,4.2367353,3.8701653
2021-02-01,1.09,2.7,3.42,3.83,3.174422,5.094808,5.2905526,2.963143
2021-03-01,1.45,3.04,3.74,3.54,3.4531631,4.063766,4.2802057,3.9261959
2021-04-01,1.69,2.9,3.6,3.33,2.7038455,5.619511,4.834902,3.7486331
2021-05-01,1.65,2.96,3.62,3.28,2.8203168,4.3854957,5.1919866,3.8443866
2021-06-01,1.62,2.79,3.44,3.33,2.6185017,4.9849925,4.304262,4.323602
2021-07-01,1.48,2.57,3.24,3.02,1.5049607,4.533522,4.7414517,3.6033487
2021-08-01,1.24,2.55,3.24,3.32,2.633078,5.0784955,4.8784533,3.8443286
2021-09-01,1.31,2.53,3.23,3.19,2.3431325,4.9720316,4.9619493,4.0038095
2021-10-01,1.48,2.68,3.35,3.2,2.3351429,3.8877351,4.7713914,3.5184243
2021-11-01,1.58,2.62,3.28,3.16,2.9547892,4.0446196,5.137253,3.8500054
2021-12-01,1.43,2.65,3.3,3.58,2.6093242,3.8647006,3.9082873,3.7169776
2022-01-01,1.52,2.93,3.58,3.1,2.204562,3.6407452,3.7240667,3.4802318
2022-02-01,1.81,3.25,3.97,3.51,2.2454872,4.7075005,4.6902785,3.805315
2022-03-01,1.72,3.43,4.29,3.89,2.225048,4.6584764,4.463895,3.7640557
2022-04-01,2.39,3.76,4.66,3.4,3.0604527,5.9162908,5.385477,3.250382
2022-05-01,2.89,4.13,5.12,3.97,2.6535134,5.218547,4.709306,3.7465134
2022-06-01,2.94,4.24,5.27,4.13,2.0312688,5.5156026,4.574846,3.4431834
2022-07-01,2.88,4.06,5.21,5.92,2.1600103,5.3437963,4.6720715,3.4515178
2022-08-01,2.6,4.07,5.15,4.8,2.4863331,4.5814877,3.8469834,3.358437
2022-09-01,3.26,4.59,5.69,5.08,2.8042316,4.1177144,5.362286,3.4239693
2022-10-01,3.83,5.1,6.26,5.43,2.6008222,4.6673303,4.3422523,3.1688917
2022-11-01,4.07,4.9,6.07,4.61,1.9729767,4.5723,4.3234234,4.0713387
2022-12-01,3.53,4.43,5.59,4.48,2.8637407,4.9609942,4.5100627,4.0977206
2023-01-01,3.88,4.4,5.5,4.81,2.9114127,4.268733,4.8366137,3.789781
2023-02-01,3.39,4.56,5.59,4.31,2.5656872,3.805918,4.6396546,3.6906128
2023-03-01,4.01,4.6,5.71,4.17,2.9148753,4.3324924,4.998613,4.0528026
2023-04-01,3.48,4.47,5.53,4.58,1.6152457,4.068721,4.968765,4.061537
2023-05-01,3.59,4.67,5.77,4.45,2.6038625,5.2346897,4.672477,3.4868457
2023-06-01,3.61,4.65,5.75,4.65,3.0374575,4.4865923,4.5414815,3.605467
2023-07-01,3.81,4.66,5.74,4.05,3.0477705,3.65239,4.801484,3.0039506
2023-08-01,4.05,4.95,6.02,3.82,2.3423672,3.3969665,4.5963373,3.579099
2023-09-01,4.18,5.13,6.16,3.81,2.836478,4.507486,5.183804,3.9916368
2023-10-01,4.59,5.61,6.63,4.03,2.100254,4.866329,4.8164415,3.284706
2023-11-01,4.77,5.28,6.29,4.47,2.1653185,5.5586996,5.4290857,3.8148053
2023-12-01,4.22,4.74,5.64,3.87,3.1405861,5.693675,4.0992627,4.3987293
2024-01-01,3.88,4.87,5.68,3.39,2.7988877,3.8356445,4.448373,3.4319036
2024-02-01,3.87,5.03,5.77,3.56,1.3882482,5.693771,4.5018344,2.8933663
2024-03-01,4.19,5.01,5.75,3.32,3.0115952,5.4076896,4.1172557,2.8199885
2024-04-01,4.33,5.28,6.0,3.12,2.1724007,3.8062794,4.9936914,4.3012958
2024-05-01,4.63,5.25,5.95,3.21,1.9521961,3.5157053,4.409568,3.7076094
2024-06-01,4.51,5.13,5.82,3.2,1.6312802,4.3642964,4.6673303,3.4071681
2024-07-01,4.48,5.12,5.84,3.21,2.2663846,4.514599,4.66502,3.2124104
2024-08-01,3.99,4.87,5.6,3.35,1.7771814,5.2050548,4.747023,3.4654422
2024-09-01,3.91,4.68,5.42,3.17,2.9888704,5.664414,4.8584423,4.352147
2024-10-01,3.74,4.95,5.63,3.07,2.9103787,4.5491605,3.8228462,3.6819289
2024-11-01,4.37,5.14,5.78,2.83,3.0437977,5.1579013,4.6699715,4.0652895
