US_10Y_Yield,AAA_Bond_Yield,BAA_Bond_Yield,Junk_Bond_Yield,Trading_Action,Volatility,Risk_Level,Month
1.58,2.62,3.28,3.16,HOLD,MEDIUM,MEDIUM,84
1.43,2.65,3.3,3.58,HOLD,MEDIUM,MEDIUM,85
1.52,2.93,3.58,3.1,HOLD,MEDIUM,MEDIUM,86
1.52,2.93,3.58,3.1,HOLD,MEDIUM,MEDIUM,87
1.81,3.25,3.97,3.51,HOLD,MEDIUM,MEDIUM,88
2.39,3.76,4.66,3.4,SELL,HIGH,MEDIUM,89
2.89,4.13,5.12,3.97,SELL,HIGH,MEDIUM,90
2.94,4.24,5.27,4.13,SELL,HIGH,MEDIUM,91
2.94,4.24,5.27,4.13,SELL,HIGH,MEDIUM,92
2.6,4.07,5.15,4.8,SELL,HIGH,MEDIUM,93
3.55,4.85,5.35,5.55,SELL,HIGH,MEDIUM,94
3.83,5.1,6.26,5.43,SELL,HIGH,MEDIUM,95
4.26,5.59,6.52,5.81,SELL,HIGH,HIGH,96
3.53,4.43,5.59,4.48,SELL,HIGH,MEDIUM,97
3.88,4.4,5.5,4.81,SELL,HIGH,MEDIUM,98
3.88,4.4,5.5,4.81,SELL,HIGH,MEDIUM,99
4.01,4.6,5.71,4.17,SELL,HIGH,MEDIUM,100
3.95,4.65,5.85,4.75,SELL,HIGH,MEDIUM,101
3.65,4.75,5.95,4.95,SELL,HIGH,MEDIUM,102
3.61,4.65,5.75,4.65,HOLD,MEDIUM,MEDIUM,103
3.81,4.66,5.74,4.05,SELL,HIGH,MEDIUM,104
4.25,5.05,6.15,4.25,SELL,HIGH,MEDIUM,105
4.35,5.25,6.25,4.05,HOLD,MEDIUM,MEDIUM,106
4.59,5.61,6.63,4.03,SELL,HIGH,MEDIUM,107
4.95,5.13,6.16,3.81,SELL,HIGH,MEDIUM,108
4.45,4.74,5.64,3.87,SELL,HIGH,MEDIUM,109
3.88,4.87,5.68,3.39,HOLD,MEDIUM,MEDIUM,110
3.88,4.87,5.68,3.39,HOLD,MEDIUM,MEDIUM,111
3.95,5.15,5.95,4.05,HOLD,MEDIUM,MEDIUM,112
4.19,5.01,5.75,3.32,SELL,MEDIUM,MEDIUM,113
4.63,5.25,5.95,3.21,SELL,HIGH,MEDIUM,114
4.51,5.13,5.82,3.2,SELL,MEDIUM,MEDIUM,115
4.48,5.12,5.84,3.21,SELL,MEDIUM,MEDIUM,116
4.48,5.12,5.84,3.21,SELL,MEDIUM,MEDIUM,117
3.91,4.68,5.42,3.17,HOLD,MEDIUM,MEDIUM,118
3.74,4.95,5.63,3.07,HOLD,MEDIUM,MEDIUM,119
