US_10Y_Yield,AAA_Bond_Yield,BAA_Bond_Yield,Junk_Bond_Yield,Trading_Action,Volatility,Risk_Level,Month
1.55,2.65,3.25,3.5,HOLD,MEDIUM,MEDIUM,84
3.02,3.5,4.55,5.12,HOLD,MEDIUM,MEDIUM,85
3.03,3.5,4.56,5.11,HOLD,MEDIUM,MEDIUM,86
3.04,3.5,4.56,5.11,HOLD,MEDIUM,MEDIUM,87
1.81,3.25,3.97,3.89,HOLD,MEDIUM,MEDIUM,88
2.39,3.76,4.66,3.4,SELL,HIGH,MEDIUM,89
3.04,3.51,4.56,4.09,SELL,HIGH,MEDIUM,90
3.05,3.55,4.65,4.25,SELL,HIGH,MEDIUM,91
3.04,3.51,4.56,5.11,SELL,HIGH,MEDIUM,92
2.95,4.05,5.25,5.95,SELL,HIGH,MEDIUM,93
3.02,3.5,4.55,5.08,SELL,HIGH,MEDIUM,94
3.0193622,3.4993505,4.5593624,5.101263,SELL,HIGH,MEDIUM,95
3.55,4.25,5.5,5.85,SELL,HIGH,MEDIUM,96
3.02,3.49,4.55,5.11,SELL,HIGH,MEDIUM,97
3.88,4.4,5.5,4.81,SELL,HIGH,MEDIUM,98
3.45,4.45,5.55,5.5,SELL,HIGH,MEDIUM,99
4.01,4.6,5.71,4.17,SELL,HIGH,MEDIUM,100
3.48,4.47,5.53,4.58,SELL,HIGH,MEDIUM,101
3.45,4.65,5.85,5.25,SELL,MEDIUM,MEDIUM,102
3.65,4.66,5.76,4.75,SELL,MEDIUM,MEDIUM,103
3.85,4.65,5.75,4.65,BUY,MEDIUM,MEDIUM,104
3.95,4.65,5.95,4.25,SELL,HIGH,MEDIUM,105
4.18,5.13,6.16,3.81,SELL,HIGH,MEDIUM,106
4.59,5.61,6.63,4.03,SELL,HIGH,MEDIUM,107
4.85,4.85,6.02,4.03,SELL,HIGH,MEDIUM,108
4.22,4.74,5.64,3.87,SELL,HIGH,MEDIUM,109
3.95,4.87,5.68,3.39,SELL,MEDIUM,MEDIUM,110
3.87,4.87,5.77,3.56,SELL,MEDIUM,MEDIUM,111
4.19,5.01,5.75,3.32,SELL,MEDIUM,MEDIUM,112
4.33,5.28,6.0,3.12,SELL,HIGH,MEDIUM,113
4.05,4.87,5.68,3.39,SELL,MEDIUM,MEDIUM,114
4.51,5.13,5.82,3.2,SELL,MEDIUM,MEDIUM,115
4.48,5.12,5.84,3.21,SELL,MEDIUM,MEDIUM,116
3.99,4.87,5.6,5.6,BUY,MEDIUM,MEDIUM,117
3.95,4.75,5.8,3.15,HOLD,MEDIUM,MEDIUM,118
3.74,4.95,5.63,3.07,BUY,MEDIUM,MEDIUM,119
