Month,US_10Y_Yield,AAA_Bond_Yield,BAA_Bond_Yield,Junk_Bond_Yield,Trading_Action,Volatility,Risk_Level
85,1.43,2.65,3.3,3.58,HOLD,MEDIUM,MEDIUM
86,1.52,2.93,3.58,3.1,HOLD,MEDIUM,MEDIUM
87,1.52,2.93,3.58,3.1,HOLD,MEDIUM,MEDIUM
88,1.65,3.493906,4.5594754,3.28,HOLD,MEDIUM,MEDIUM
89,2.05,3.55,4.15,4.55,HOLD,MEDIUM,MEDIUM
90,2.55,3.85,4.25,4.75,SELL,MEDIUM,MEDIUM
91,2.94,4.24,5.27,4.13,SELL,HIGH,MEDIUM
92,2.88,4.06,5.21,5.92,SELL,HIGH,MEDIUM
93,2.6,4.07,5.15,4.8,SELL,HIGH,MEDIUM
94,3.55,4.55,5.09,5.11,SELL,HIGH,MEDIUM
95,3.83,5.1,6.26,5.43,SELL,HIGH,HIGH
96,4.25,4.65,5.15,5.95,SELL,HIGH,MEDIUM
97,3.65,4.95,5.45,5.25,SELL,HIGH,MEDIUM
98,3.88,4.4,5.5,4.81,SELL,HIGH,MEDIUM
99,3.65,4.65,5.25,5.85,SELL,MEDIUM,MEDIUM
100,3.95,4.65,5.75,5.5,SELL,HIGH,MEDIUM
101,3.45,4.45,5.65,5.05,HOLD,MEDIUM,MEDIUM
102,3.65,4.65,5.85,5.25,HOLD,MEDIUM,MEDIUM
103,3.65,4.65,5.75,4.65,HOLD,MEDIUM,MEDIUM
104,3.85,4.45,5.75,4.65,SELL,MEDIUM,MEDIUM
105,4.15,4.65,5.75,3.82,SELL,MEDIUM,MEDIUM
106,4.25,4.65,5.75,4.05,SELL,MEDIUM,MEDIUM
107,4.59,5.61,6.63,4.03,SELL,HIGH,MEDIUM
108,4.77,5.28,6.29,4.47,SELL,HIGH,MEDIUM
109,4.25,4.75,5.65,4.15,SELL,MEDIUM,MEDIUM
110,3.88,4.87,5.68,3.39,SELL,MEDIUM,MEDIUM
111,3.85,4.87,5.77,3.39,SELL,MEDIUM,MEDIUM
112,3.95,4.85,5.85,4.25,SELL,MEDIUM,MEDIUM
113,4.35,5.05,5.75,3.95,SELL,MEDIUM,MEDIUM
114,4.33,5.28,6.0,3.12,SELL,MEDIUM,MEDIUM
115,4.45,4.92,5.5,4.05,SELL,MEDIUM,MEDIUM
116,4.48,5.12,5.84,3.21,HOLD,MEDIUM,MEDIUM
117,4.48,5.12,5.84,3.21,SELL,MEDIUM,MEDIUM
118,4.05,4.87,5.12,5.6,SELL,MEDIUM,MEDIUM
119,3.74,4.95,5.63,3.07,SELL,MEDIUM,MEDIUM
120,4.25,4.75,5.75,3.55,HOLD,MEDIUM,MEDIUM
