Date,US_10Y_Yield,AAA_Bond_Yield,BAA_Bond_Yield,Junk_Bond_Yield
2014-12-01,2.22,3.79,4.74,4.82
2015-01-01,2.17,3.46,4.45,5.04
2015-02-01,1.68,3.61,4.51,5.26
2015-03-01,2.0,3.64,4.54,4.46
2015-04-01,1.87,3.52,4.48,4.86
2015-05-01,2.12,3.98,4.89,4.53
2015-06-01,2.19,4.19,5.13,4.52
2015-07-01,2.43,4.15,5.2,4.88
2015-08-01,2.2,4.04,5.19,5.36
2015-09-01,2.17,4.07,5.34,5.78
2015-10-01,2.05,3.95,5.34,6.67
2015-11-01,2.16,4.06,5.46,5.9
2015-12-01,2.15,3.97,5.46,6.4
2016-01-01,2.27,4.0,5.45,6.95
2016-02-01,1.97,3.96,5.34,7.79
2016-03-01,1.83,3.82,5.13,7.46
2016-04-01,1.79,3.62,4.79,7.05
2016-05-01,1.83,3.65,4.68,6.21
2016-06-01,1.85,3.5,4.53,6.01
2016-07-01,1.46,3.28,4.22,6.12
2016-08-01,1.51,3.32,4.24,5.69
2016-09-01,1.57,3.41,4.31,5.12
2016-10-01,1.6,3.51,4.38,4.97
2016-11-01,1.83,3.86,4.71,5.05
2016-12-01,2.45,4.06,4.83,4.62
2017-01-01,2.45,3.92,4.66,4.22
2017-02-01,2.48,3.95,4.64,3.95
2017-03-01,2.46,4.01,4.68,3.57
2017-04-01,2.4,3.87,4.57,3.92
2017-05-01,2.33,3.85,4.55,3.78
2017-06-01,2.21,3.68,4.37,3.69
2017-07-01,2.31,3.7,4.39,3.77
2017-08-01,2.26,3.63,4.31,3.6
2017-09-01,2.16,3.63,4.3,3.82
2017-10-01,2.33,3.6,4.32,3.56
2017-11-01,2.37,3.57,4.27,3.48
2017-12-01,2.37,3.51,4.22,3.63
2018-01-01,2.4,3.55,4.26,3.63
2018-02-01,2.78,3.82,4.51,3.29
2018-03-01,2.81,3.87,4.64,3.59
2018-04-01,2.74,3.85,4.67,3.72
2018-05-01,2.97,4.0,4.83,3.47
2018-06-01,2.89,3.96,4.83,3.55
2018-07-01,2.85,3.87,4.79,3.71
2018-08-01,3.0,3.88,4.77,3.43
2018-09-01,2.86,3.98,4.88,3.49
2018-10-01,3.09,4.14,5.07,3.22
2018-11-01,3.14,4.22,5.22,3.81
2018-12-01,3.01,4.02,5.13,4.29
2019-01-01,2.69,3.93,5.12,5.33
2019-02-01,2.7,3.79,4.95,4.29
2019-03-01,2.76,3.77,4.84,3.86
2019-04-01,2.49,3.69,4.7,3.94
2019-05-01,2.52,3.67,4.63,3.71
2019-06-01,2.14,3.42,4.46,4.59
2019-07-01,2.03,3.29,4.28,3.99
2019-08-01,1.9,2.98,3.87,4.1
2019-09-01,1.5,3.03,3.91,4.13
2019-10-01,1.65,3.01,3.92,4.08
2019-11-01,1.73,3.06,3.94,4.09
2019-12-01,1.78,3.01,3.88,4.02
2020-01-01,1.92,2.94,3.77,3.6
2020-02-01,1.51,2.78,3.61,4.03
2020-03-01,1.13,3.02,4.29,5.06
2020-04-01,0.62,2.43,4.13,9.11
2020-05-01,0.64,2.5,3.95,7.7
2020-06-01,0.66,2.44,3.64,6.43
2020-07-01,0.69,2.14,3.31,6.33
2020-08-01,0.55,2.25,3.27,5.16
2020-09-01,0.68,2.31,3.36,4.97
2020-10-01,0.68,2.35,3.44,5.36
2020-11-01,0.88,2.3,3.3,5.32
2020-12-01,0.92,2.26,3.16,4.21
2021-01-01,0.93,2.45,3.24,3.86
2021-02-01,1.09,2.7,3.42,3.83
2021-03-01,1.45,3.04,3.74,3.54
2021-04-01,1.69,2.9,3.6,3.33
2021-05-01,1.65,2.96,3.62,3.28
2021-06-01,1.62,2.79,3.44,3.33
2021-07-01,1.48,2.57,3.24,3.02
2021-08-01,1.24,2.55,3.24,3.32
2021-09-01,1.31,2.53,3.23,3.19
2021-10-01,1.48,2.68,3.35,3.2
2021-11-01,1.58,2.62,3.28,3.16
2021-12-01,1.43,2.65,3.3,3.58
2022-01-01,1.52,2.93,3.58,3.1
2022-02-01,1.81,3.25,3.97,3.51
2022-03-01,1.72,3.43,4.29,3.89
2022-04-01,2.39,3.76,4.66,3.4
2022-05-01,2.89,4.13,5.12,3.97
2022-06-01,2.94,4.24,5.27,4.13
2022-07-01,2.88,4.06,5.21,5.92
2022-08-01,2.6,4.07,5.15,4.8
2022-09-01,3.26,4.59,5.69,5.08
2022-10-01,3.83,5.1,6.26,5.43
2022-11-01,4.07,4.9,6.07,4.61
2022-12-01,3.53,4.43,5.59,4.48
2023-01-01,3.88,4.4,5.5,4.81
2023-02-01,3.39,4.56,5.59,4.31
2023-03-01,4.01,4.6,5.71,4.17
2023-04-01,3.48,4.47,5.53,4.58
2023-05-01,3.59,4.67,5.77,4.45
2023-06-01,3.61,4.65,5.75,4.65
2023-07-01,3.81,4.66,5.74,4.05
2023-08-01,4.05,4.95,6.02,3.82
2023-09-01,4.18,5.13,6.16,3.81
2023-10-01,4.59,5.61,6.63,4.03
2023-11-01,4.77,5.28,6.29,4.47
2023-12-01,4.22,4.74,5.64,3.87
2024-01-01,3.88,4.87,5.68,3.39
2024-02-01,3.87,5.03,5.77,3.56
2024-03-01,4.19,5.01,5.75,3.32
2024-04-01,4.33,5.28,6.0,3.12
2024-05-01,4.63,5.25,5.95,3.21
2024-06-01,4.51,5.13,5.82,3.2
2024-07-01,4.48,5.12,5.84,3.21
2024-08-01,3.99,4.87,5.6,3.35
2024-09-01,3.91,4.68,5.42,3.17
2024-10-01,3.74,4.95,5.63,3.07
2024-11-01,4.37,5.14,5.78,2.83
