Month,Inflation_Rate,GDP_Growth,Unemployment_Rate,Fed_Funds_Rate,Money_Supply,Consumer_Confidence,S&P_500,Crude_Oil,Gold,US_Dollar_Index,INR_USD,VIX
2014-12-31,0.76,,5.6,0.12,11701.9,93.6,2058.9,53.27,1183.9,90.27,63.38,19.2
2015-01-31,-0.09,3.6,5.7,0.11,11774.2,98.1,1994.99,48.24,1278.5,94.8,61.8,20.97
2015-02-28,0.03,3.6,5.5,0.11,11880.4,95.4,2104.5,49.76,1212.6,95.25,61.75,13.34
2015-03-31,-0.07,3.6,5.4,0.11,11892.9,93.0,2067.89,47.6,1183.1,98.36,62.51,15.29
2015-04-30,-0.2,2.48,5.4,0.12,11932.5,95.9,2085.51,59.63,1182.4,94.6,63.44,14.55
2015-05-31,0.04,2.48,5.6,0.12,11963.8,90.7,2107.39,60.3,1189.4,96.91,63.83,13.84
2015-06-30,0.12,2.48,5.3,0.13,12011.1,96.1,2063.11,59.47,1171.5,95.49,63.72,18.23
2015-07-31,0.17,1.6,5.2,0.13,12061.1,93.1,2103.84,47.12,1094.9,97.37,64.12,12.12
2015-08-31,0.2,1.6,5.1,0.14,12110.8,91.9,1972.18,49.2,1131.6,95.95,66.14,28.43
2015-09-30,0.0,1.6,5.0,0.14,12170.3,87.2,1920.03,45.09,1115.5,96.35,65.92,24.5
2015-10-31,0.17,0.74,5.0,0.12,12211.2,90.0,2079.36,46.59,1141.5,96.95,65.44,15.07
2015-11-30,0.5,0.74,5.1,0.12,12301.0,91.3,2080.41,41.65,1065.8,100.17,66.9,16.13
2015-12-31,0.73,0.74,5.0,0.24,12361.5,92.6,2043.94,37.04,1060.3,98.63,66.46,18.21
2016-01-31,1.37,2.32,4.8,0.34,12490.8,92.0,1940.24,33.62,1116.4,99.61,68.09,20.2
2016-02-29,1.02,2.32,4.9,0.38,12557.6,91.7,1932.23,33.75,1233.9,98.21,68.73,20.55
2016-03-31,0.85,2.32,5.0,0.36,12620.2,91.0,2059.74,38.34,1234.2,94.59,66.37,13.95
2016-04-30,1.13,1.28,5.1,0.37,12703.7,89.0,2065.3,45.92,1289.2,93.08,66.44,15.7
2016-05-31,1.02,1.28,4.8,0.37,12775.9,94.7,2096.95,49.1,1214.8,95.89,67.13,14.19
