AAA_Bond_Yield,BAA_Bond_Yield,US_Bond_Yield,Junk_Bond_Yield,US_10Y_Yield_Actual,AAA_Bond_Yield_Actual,BAA_Bond_Yield_Actual,Junk_Bond_Yield_Actual
3.4926147,4.544118,3.0272038,5.0937815,3.88,4.87,5.68,3.39
3.4945102,4.557032,3.020372,5.0984282,3.87,5.03,5.77,3.56
3.4928446,4.550318,3.0038476,5.102774,4.19,5.01,5.75,3.32
3.492116,4.5616007,3.0127456,5.099158,4.33,5.28,6,3.12
3.4902663,4.561291,3.0097876,5.0895953,4.63,5.25,5.95,3.21
3.4962292,4.5621443,3.0182261,5.0976257,4.51,5.13,5.82,3.2
3.4967756,4.5637617,3.0221863,5.1015697,4.48,5.12,5.84,3.21
3.4993038,4.5506964,3.0230017,5.1138673,3.99,4.87,5.6,3.35
3.4961576,4.56151,3.022586,5.101045,3.91,4.68,5.42,3.17
3.5000854,4.553809,3.04068,5.0997157,3.74,4.95,5.63,3.07
3.5006905,4.5378366,3.021677,5.0974755,4.37,5.14,5.78,2.83
