US_10Y_Yield,US_10Y_Yield_Actual,AAA_Bond_Yield,AAA_Bond_Yield_Actual,BAA_Bond_Yield,BAA_Bond_Yield_Actual,Junk_Bond_Yield,Junk_Bond_Yield_Actual
3.1405861,4.22,4.3987293,4.74,4.0992627,5.64,5.693675,3.87
2.7988877,3.88,3.4319036,4.87,4.448373,5.68,3.8356445,3.39
1.3882482,3.87,2.8933663,5.03,4.5018344,5.77,5.693771,3.56
3.0115952,4.19,2.8199885,5.01,4.1172557,5.75,5.4076896,3.32
2.1724007,4.33,4.3012958,5.28,4.9936914,6,3.8062794,3.12
1.9521961,4.63,3.7076094,5.25,4.409568,5.95,3.5157053,3.21
1.6312802,4.51,3.4071681,5.13,4.6673303,5.82,4.3642964,3.2
2.2663846,4.48,3.2124104,5.12,4.66502,5.84,4.514599,3.21
1.7771814,3.99,3.4654422,4.87,4.747023,5.6,5.2050548,3.35
2.9888704,3.91,4.352147,4.68,4.8584423,5.42,5.664414,3.17
2.9103787,3.74,3.6819289,4.95,3.8228462,5.63,4.5491605,3.07

